iter	RMSE
0	2915380.308
1	2855558.909
2	2805936.854
3	2757244.811
4	2724880.895
5	2696987.914
6	2666372.649
7	2642697.896
8	2620040.302
9	2601648.996
10	2586019.53
11	2566169.989
12	2555864.197
13	2545938.432
14	2536678.452
15	2523025.801
16	2516037.182
17	2511605.705
18	2501621.824
19	2493826.699
20	2481682.625
21	2477732.044
22	2467404.497
23	2463672.341
24	2457745.734
25	2455355.557
26	2453646.015
27	2449510.592
28	2442379.657
29	2436376.442
30	2432184.226
31	2430505.893
32	2427630.701
33	2423195.255
34	2418731.48
35	2413699.684
36	2412768.665
37	2411022.402
38	2408303.333
39	2401867.89
40	2398813.88
41	2395556.961
42	2394533.947
43	2391470.222
44	2387006.562
45	2385015.636
46	2383286.337
47	2382902.324
48	2381936.014
49	2378595.443
50	2377460.907
51	2376318.455
52	2374984.524
53	2372630.576
54	2371348.436
55	2370718.36
56	2369809.737
57	2368891.677
58	2365813.423
59	2361773.151
60	2358835.23
61	2357504.883
62	2356548.471
63	2353571.085
64	2348376.196
65	2343226.757
66	2341151.609
67	2340329.421
68	2339130.506
69	2336176.307
70	2332983.452
71	2328479.552
72	2326037.605
73	2325077.854
74	2323098.637
75	2321798.245
76	2317516
77	2312474.114
78	2309560.711
79	2301980.076
80	2299698.262
81	2298301.258
82	2297591.455
83	2294571.182
84	2292618.606
85	2290601.7
86	2287019.302
87	2282736.872
88	2281197.102
89	2280603.183
90	2280122.378
91	2279559.03
92	2274121.774
93	2270378.866
94	2269598.545
95	2267270.622
96	2261296.769
97	2259513.099
98	2257357.383
99	2250264.456
