iter	Passed	Remaining
0	6	1300
1	12	1220
2	17	1151
3	23	1146
4	28	1113
5	33	1078
6	38	1069
7	44	1062
8	49	1058
9	55	1050
10	59	1025
11	64	1016
12	70	1010
13	75	997
14	82	1021
15	89	1023
16	96	1037
17	101	1029
18	107	1020
19	111	1005
20	117	997
21	121	982
22	125	968
23	130	960
24	136	952
25	140	938
26	144	926
27	149	918
28	154	909
29	158	898
30	163	891
31	167	878
32	171	865
33	176	859
34	180	851
35	185	843
36	189	834
37	195	831
38	200	827
39	204	819
40	209	812
41	213	802
42	218	796
43	222	789
44	229	789
45	233	780
46	237	773
47	242	768
48	247	761
49	251	755
50	258	754
51	262	747
52	267	741
53	271	735
54	276	729
55	281	723
56	285	717
57	290	712
58	295	705
59	299	699
60	304	693
61	309	689
62	313	682
63	318	676
64	323	671
65	333	677
66	342	679
67	352	684
68	358	681
69	371	689
70	380	691
71	392	697
72	403	702
73	411	701
74	425	708
75	431	704
76	436	697
77	442	692
78	447	685
79	452	678
80	457	671
81	462	664
82	467	659
83	473	654
84	479	648
85	485	643
86	492	639
87	497	633
88	502	626
89	507	620
90	513	615
91	520	610
92	525	604
93	530	597
94	535	591
95	540	585
96	545	579
97	551	573
98	556	567
99	561	561
100	565	554
101	570	547
102	577	543
103	582	537
104	586	531
105	592	525
106	597	519
107	606	516
108	612	511
109	617	505
110	623	499
111	628	493
112	635	489
113	640	483
114	644	476
115	649	470
116	654	464
117	657	457
118	660	449
119	664	443
120	668	436
121	672	429
122	675	423
123	679	416
124	682	409
125	686	403
126	689	396
127	692	389
128	694	382
129	697	375
130	701	369
131	704	362
132	707	356
133	711	350
134	715	344
135	718	338
136	721	332
137	725	325
138	729	319
139	731	313
140	735	307
141	737	301
142	740	295
143	743	289
144	746	283
145	750	277
146	753	271
147	757	265
148	760	260
149	763	254
150	766	248
151	769	243
152	773	237
153	776	231
154	779	226
155	782	220
156	785	215
157	788	209
158	791	204
159	795	198
160	798	193
161	801	188
162	804	182
163	808	177
164	811	172
165	814	166
166	817	161
167	820	156
168	823	151
169	826	145
170	828	140
171	831	135
172	834	130
173	837	125
174	839	119
175	843	114
176	846	109
177	849	104
178	852	99
179	855	95
180	858	90
181	861	85
182	864	80
183	867	75
184	870	70
185	873	65
186	876	60
187	880	56
188	883	51
189	886	46
190	890	41
191	893	37
192	896	32
193	900	27
194	903	23
195	907	18
196	910	13
197	913	9
198	917	4
199	921	0
