titre,date,genre,durée,réalisateur,distributeur,acteurs,titre_original,nationalités,langue_d_origine,type_film,annee_production,budget,box_office_total,note_presse,note_spectateurs,nombre_article,recompenses,description
Ninja Turtles Teenage Years,09/08/2023,"Action,Aventure",99,Jeff Rowe, Paramount Pictures France ,"Jean-Stan du Pac,Nicolas Cantu,Kylian Trouillard",Teenage Mutant Ninja Turtles: Mutant Mayhem,,Anglais,Long-métrage,2023,-,,,,,,"Après des années passées loin du monde des humains, les frères Tortues entreprennent de gagner le cœur des New-Yorkais et d'être acceptés comme des adolescents normaux grâce à des actes héroïques. Leur nouvelle amie April O'Neil les aide à s'attaquer à un mystérieux syndicat du crime mais ils se retrouvent dépassés par les événements lorsqu'une armée de mutants se déploie contre eux."
The Creator,27/09/2023,Romance,,Gareth Edwards (V), The Walt Disney Company France ,"John David Washington,Gemma Chan,Ken Watanabe",,"U.S.A.,Grande-Bretagne",Anglais,Long-métrage,2023,-,,,,18 Photos,,"Dans un futur proche, les humains et l'intelligence artificielle (IA) se livrent une guerre sans merci. Joshua, un ex-agent des forces spéciales fragilisé par la disparition de sa femme, est recruté pour traquer et neutraliser le Créateur, l'insaisissable architecte d'une IA avancée à l'origine d'une arme qui pourrait mettre fin à la guerre... et détruire l'humanité tout entière. Avec l'aide d'une unité d'agents d'élite, Joshua traverse les lignes ennemies et pénètre au coeur de leur dangereux territoire. Il découvrira bientôt que l'arme funeste qu'il est chargé de détruire n'est autre qu'une intelligence artificelle supérieure qui a pris les traits d'un jeune enfant..."
L'Été dernier,13/09/2023,Drame,104,Catherine Breillat, Pyramide Distribution ,"Léa Drucker,Samuel Kircher,Olivier Rabourdin",,,Français,Long-métrage,2023,-,,,,,5 nominations,
Saw X,25/10/2023,,,Kevin Greutert, Metropolitan FilmExport ,"Tobin Bell,Shawnee Smith,Synnøve Macody Lund",,,Anglais,Long-métrage,2023,-,,,,,,"John Kramer, le tueur au puzzle, est de retour dans le volet le plus perturbant de la franchise SAW. Les événements se situent entre SAW I et II, on y retrouve un John, malade et désespéré, qui se rend au Mexique afin de subir une opération expérimentale capable de guérir son cancer, mais il découvre que tout ceci n’est qu’une escroquerie visant des malades vulnérables et affligés. Animé d'un nouveau but, le célèbre tueur en série retourne à son œuvre, et va prendre sa revanche sur ces escrocs dans un terrible « jeu » dont il a le secret, à travers des pièges toujours plus machiavéliques et ingénieux les uns que les autres."
Assassin Club,,Thriller,111,Camille Delamarre,,"Henry Golding,Daniela Melchior,Sam Neill",,"U.S.A.,Italie",Anglais,Long-métrage,2023,-,,,,,,"Dans le monde des tueurs à gages d'élite et des espions internationaux, Morgan Gaines est le meilleur d'entre eux. Il est engagé pour tuer six personnes à travers le monde, il découvre rapidement que toutes les cibles sont également des assassins engagés sans le savoir pour s'entretuer."
Mickey 17,27/03/2024,Drame,,Bong Joon Ho, Warner Bros. France ,"Robert Pattinson,Mark Ruffalo,Toni Collette",,,Anglais,Long-métrage,2024,-,,,,,,"Mickey7 est un individu envoyé coloniser une planète gelée. A chaque fois qu'il meurt, ses souvenirs sont implantés dans un nouveau corps et sa mission reprend. Après être mort à six reprises, Mickey7 commence à comprendre le but réel de sa mission..."
Le Ciel rouge,06/09/2023,Romance,102,Christian Petzold, Les Films du Losange ,"Thomas Schubert,Paula Beer,Langston Uibel",Roter Himmel,,Allemand,Long-métrage,2023,-,,,,,1 prix et 7 nominations,"Une petite maison de vacances au bord de la mer Baltique. Les journées sont chaudes et il n'a pas plu depuis des semaines. Quatre jeunes gens se réunissent, des amis anciens et nouveaux. Les forêts desséchées qui les entourent commencent à s'enflammer, tout comme leurs émotions. Le bonheur, la luxure et l'amour, mais aussi les jalousies, les rancœurs et les tensions. Pendant ce temps, les forêts brûlent. Et très vite, les flammes sont là."
Une année difficile,18/10/2023,,118,Eric Toledano, Gaumont Distribution ,"Pio Marmaï,Jonathan Cohen,Noémie Merlant",,,Français,Long-métrage,2023,-,,,,,,"Albert et Bruno sont surendettés et en bout de course, c’est dans le chemin associatif qu’ils empruntent ensemble qu’ils croisent des jeunes militants écolos. Plus attirés par la bière et les chips gratuites que par leurs arguments, ils vont peu à peu intégrer le mouvement sans conviction…"
Karate Kid,11/12/2024,,,Jeremiah Friedman, Sony Pictures Releasing France ,,,,Anglais,Long-métrage,2024,-,,,,,,Reboot de la franchise Karaté Kid.
Voleuses,,,,Mélanie Laurent,,"Adèle Exarchopoulos,Mélanie Laurent,Manon Bresch",,,Français,Long-métrage,2023,-,,,,,,"Carole et Alex sont deux voleuses de génie, et meilleures amies depuis toujours. Sous la coupe de Marraine depuis des années, elles rêvent d'être libres. Avec l’aide de Sam, une championne de moto, elles se lancent dans une ultime aventure pour s'affranchir de cette vie de cavale."
Simple comme Sylvain,08/11/2023,Romance,110,Monia Chokri, Memento Distribution ,"Magalie Lépine Blondeau,Pierre-Yves Cardinal,Francis-William Rhéaume",,,Français,Long-métrage,2023,-,,,,,2 prix et 7 nominations,
Le Gang des bois du temple,06/09/2023,,112,Rabah Ameur-Zaïmeche, Les Alchimistes ,"Régis Laroche,Marie Loustalot,Philippe Petit",,,Français,Long-métrage,2023,-,,,,,,"Un militaire à la retraite vit dans le quartier populaire des Bois du Temple. Au moment où il enterre sa mère, son voisin Bébé, qui appartient à un groupe de gangsters de la cité, s'apprête à braquer le convoi d'un richissime prince arabe..."
Monster,27/12/2023,Thriller,126,Hirokazu Kore-eda, Le Pacte ,"Sakura Andô,Eita Nagayama,Soya Kurokawa",Kaibutsu,,Japonais,Long-métrage,2023,-,,,,,2 prix et 5 nominations,
La Bête,28/02/2024,"Science fiction,Romance",146,Bertrand Bonello, Ad Vitam ,"Léa Seydoux,George MacKay,Guslagie Malanda",,"Canada,France",Français,Long-métrage,2023,"7,5 M€",,,,,,"Dans un futur proche où règne l’intelligence artificielle, les émotions humaines sont devenues une menace. Pour s'en débarrasser, Gabrielle doit purifier son ADN en replongeant dans ses vies antérieures. Elle y retrouve Louis, son grand amour. Mais une peur l'envahit, le pressentiment qu'une catastrophe se prépare."
Un métier sérieux,13/09/2023,"Drame,Comédie",101,Thomas Lilti, Le Pacte ,"Vincent Lacoste,François Cluzet,Adèle Exarchopoulos",,,Français,Long-métrage,2023,"7,6 M€",,,,,,"C’est la rentrée. Une nouvelle année scolaire au collège qui voit se retrouver Pierre, Meriem, Fouad, Sophie, Sandrine, Alix et Sofiane, un groupe d’enseignants engagés et soudés. Ils sont rejoints par Benjamin, jeune professeur remplaçant sans expérience et rapidement confronté aux affres du métier. A leur contact, il va découvrir combien la passion de l’enseignement demeure vivante au sein d’une institution pourtant fragilisée."
"Bonnard, Pierre et Marthe",10/01/2024,"Biopic,Romance",122,Martin Provost, Memento Distribution ,"Cécile de France,Vincent Macaigne,Stacy Martin",,,Français,Long-métrage,2023,-,,,,,2 nominations,
Simulant,,"Science fiction,Romance",95,April Mullen,,"Robbie Amell,Jordana Brewster,Simu Liu",,,Anglais,Long-métrage,2023,-,,,,13 Photos,,"Après la perte de son mari, Evan, Faye cherche du réconfort en utilisant un simulant androïde, ou SIM, créé à son image. Bien que presque identique à son mari, Faye ne peut se résoudre à aimer l'androïde de la même façon qu'elle aimait son mari. Cependant, l'androïde est bien déterminé à gagner son cœur..."
Suro,02/08/2023,,116,Mikel Gurrea, Tamasa Distribution ,"Vicky Luengo,Pol López,Ilyass El Ouahdani",,,Catalan,Long-métrage,2022,-,,,,,,"Elena et Ivan s’apprêtent à entrer dans une nouvelle phase de leur vie. Ils quittent la métropole de Barcelone pour s’installer dans la campagne de Catalogne, où ils reprennent une plantation de chêne-liège. Le commerce du liège devra non seulement leur permettre d’assurer leur existence, mais ils comptent également exploiter la plantation de manière équitable et durable. Malgré leurs idéaux, Elena et Ivan doivent faire face à la dure réalité et se retrouveront bientôt dans une crise qui mettra non seulement en danger leur projet commun, mais aussi leur relation."
Wish - Asha et la bonne étoile,29/11/2023,Famille,,Chris Buck, The Walt Disney Company France ,"Ariana DeBose,Chris Pine,Alan Tudyk",Wish,,Anglais,Long-métrage,2023,-,,,,,,"Asha, jeune fille de 17 ans à l’esprit vif et dévouée à ses proches, vit à Rosas, un royaume où tous les souhaits peuvent littéralement s’exaucer. Dans un moment de désespoir, elle adresse un vœu aux étoiles auquel va répondre une force cosmique : une petite boule d’énergie infinie prénommée Star. Ensemble, Star et Asha vont affronter le plus redoutable des ennemis et prouver que le souhait d’une personne déterminée, allié à la magie des étoiles, peut produire des miracles..."
Lost In The Night,20/09/2023,Thriller,120,Amat Escalante, Paname Distribution ,"Juan Daniel García Treviño,Ester Expósito,Bárbara Mori",Perdidos en la noche,"Mexique,Allemagne,Pays-Bas,Danemark",Espagnol,Long-métrage,2023,-,,,,,,
Little Girl Blue,15/11/2023,,95,Mona Achache, Tandem ,Marion Cotillard,,,Français,Long-métrage,2023,-,,,,,,
Mars Express,22/11/2023,"Science fiction,Action",85,Jérémie Périn, Gebeka Films ,"Léa Drucker,Mathieu Amalric,Daniel Njo Lobé",,,Français,Long-métrage,2023,"6,7 M€",,,,,,
